productCode,name,description,singlePrice,cartonPcsPrice,cartonQty,gstPercentage,hsnCode,weight,stock,category,subCategory,isBestseller,isNewArrival,isTopRanking,imageUrl,imageUrls,image1,image2,image3,image4,image5,image6,image7,image8,image9,image10
BZ-06,,,,,,,,,,,basic,false,false,false,/uploads/BZ-06-1773659973257-vqr5b53oj.jpg,/uploads/BZ-06-1773659973257-vqr5b53oj.jpg|/uploads/BZ-06-1773659973260-6ys4he2eb.jpg|/uploads/BZ-06-1773659973264-zy5vcoarc.jpg|/uploads/BZ-06-1773659973267-c9gzty5x6.jpg|/uploads/BZ-06-1773659973271-v7y475r88.jpg|/uploads/BZ-06-1773659973275-ta8n2ygrt.jpg,/uploads/BZ-06-1773659973257-vqr5b53oj.jpg,/uploads/BZ-06-1773659973260-6ys4he2eb.jpg,/uploads/BZ-06-1773659973264-zy5vcoarc.jpg,/uploads/BZ-06-1773659973267-c9gzty5x6.jpg,/uploads/BZ-06-1773659973271-v7y475r88.jpg,/uploads/BZ-06-1773659973275-ta8n2ygrt.jpg,,,,
BZ-09,,,,,,,,,,,basic,false,false,false,/uploads/BZ-09-1773659973279-a0l5xshkw.jpg,/uploads/BZ-09-1773659973279-a0l5xshkw.jpg|/uploads/BZ-09-1773659973283-w1u2a97du.jpg|/uploads/BZ-09-1773659973287-trlvoxz6d.jpg,/uploads/BZ-09-1773659973279-a0l5xshkw.jpg,/uploads/BZ-09-1773659973283-w1u2a97du.jpg,/uploads/BZ-09-1773659973287-trlvoxz6d.jpg,,,,,,,
BZ-104,,,,,,,,,,,basic,false,false,false,/uploads/BZ-104-1773659973291-qr690bwh3.jpg,/uploads/BZ-104-1773659973291-qr690bwh3.jpg|/uploads/BZ-104-1773659973295-u8jqphpi9.jpg|/uploads/BZ-104-1773659973299-snk36n9ep.jpg|/uploads/BZ-104-1773659973302-fek8phhnu.jpg|/uploads/BZ-104-1773659973306-nr66fudgq.jpg,/uploads/BZ-104-1773659973291-qr690bwh3.jpg,/uploads/BZ-104-1773659973295-u8jqphpi9.jpg,/uploads/BZ-104-1773659973299-snk36n9ep.jpg,/uploads/BZ-104-1773659973302-fek8phhnu.jpg,/uploads/BZ-104-1773659973306-nr66fudgq.jpg,,,,,
BZ-106,,,,,,,,,,,basic,false,false,false,/uploads/BZ-106-1773659973310-ziva05f0j.jpg,/uploads/BZ-106-1773659973310-ziva05f0j.jpg|/uploads/BZ-106-1773659973313-efx90yq1r.jpg|/uploads/BZ-106-1773659973316-6ogxuekw1.jpg|/uploads/BZ-106-1773659973320-d46hexwof.jpg|/uploads/BZ-106-1773659973324-rogpi2rrw.jpg|/uploads/BZ-106-1773659973327-498gozpix.jpg,/uploads/BZ-106-1773659973310-ziva05f0j.jpg,/uploads/BZ-106-1773659973313-efx90yq1r.jpg,/uploads/BZ-106-1773659973316-6ogxuekw1.jpg,/uploads/BZ-106-1773659973320-d46hexwof.jpg,/uploads/BZ-106-1773659973324-rogpi2rrw.jpg,/uploads/BZ-106-1773659973327-498gozpix.jpg,,,,
BZ-107,,,,,,,,,,,basic,false,false,false,/uploads/BZ-107-1773659973331-b9n5g53my.jpg,/uploads/BZ-107-1773659973331-b9n5g53my.jpg,/uploads/BZ-107-1773659973331-b9n5g53my.jpg,,,,,,,,,
BZ-108,,,,,,,,,,,basic,false,false,false,/uploads/BZ-108-1773659973335-cqn7twlv8.jpg,/uploads/BZ-108-1773659973335-cqn7twlv8.jpg|/uploads/BZ-108-1773659973340-08r37a88u.jpg|/uploads/BZ-108-1773659973344-ec1eyi2mv.jpg|/uploads/BZ-108-1773659973347-xsq2mwahh.jpg|/uploads/BZ-108-1773659973351-qakfgm3az.jpg,/uploads/BZ-108-1773659973335-cqn7twlv8.jpg,/uploads/BZ-108-1773659973340-08r37a88u.jpg,/uploads/BZ-108-1773659973344-ec1eyi2mv.jpg,/uploads/BZ-108-1773659973347-xsq2mwahh.jpg,/uploads/BZ-108-1773659973351-qakfgm3az.jpg,,,,,
BZ-113,,,,,,,,,,,basic,false,false,false,/uploads/BZ-113-1773659973356-1xrnu6c86.jpg,/uploads/BZ-113-1773659973356-1xrnu6c86.jpg|/uploads/BZ-113-1773659973360-g6sv1u8tr.jpg|/uploads/BZ-113-1773659973363-ngvnr44af.jpg|/uploads/BZ-113-1773659973366-n0v42ekz0.jpg|/uploads/BZ-113-1773659973370-w93jsae1e.jpg,/uploads/BZ-113-1773659973356-1xrnu6c86.jpg,/uploads/BZ-113-1773659973360-g6sv1u8tr.jpg,/uploads/BZ-113-1773659973363-ngvnr44af.jpg,/uploads/BZ-113-1773659973366-n0v42ekz0.jpg,/uploads/BZ-113-1773659973370-w93jsae1e.jpg,,,,,
BZ-114,,,,,,,,,,,basic,false,false,false,/uploads/BZ-114-1773659973375-wl08jjuir.jpg,/uploads/BZ-114-1773659973375-wl08jjuir.jpg|/uploads/BZ-114-1773659973378-9t82687qu.jpg|/uploads/BZ-114-1773659973382-w91adhfeh.jpg|/uploads/BZ-114-1773659973385-9z6lep35c.jpg,/uploads/BZ-114-1773659973375-wl08jjuir.jpg,/uploads/BZ-114-1773659973378-9t82687qu.jpg,/uploads/BZ-114-1773659973382-w91adhfeh.jpg,/uploads/BZ-114-1773659973385-9z6lep35c.jpg,,,,,,
BZ-1181,,,,,,,,,,,basic,false,false,false,/uploads/BZ-1181-1773659973391-39dybvi8l.jpg,/uploads/BZ-1181-1773659973391-39dybvi8l.jpg|/uploads/BZ-1181-1773659973395-uipa400dw.jpg|/uploads/BZ-1181-1773659973398-icdhy55k1.jpg|/uploads/BZ-1181-1773659973401-5wg7u1cg5.jpg|/uploads/BZ-1181-1773659973405-pqhyifi4i.jpg,/uploads/BZ-1181-1773659973391-39dybvi8l.jpg,/uploads/BZ-1181-1773659973395-uipa400dw.jpg,/uploads/BZ-1181-1773659973398-icdhy55k1.jpg,/uploads/BZ-1181-1773659973401-5wg7u1cg5.jpg,/uploads/BZ-1181-1773659973405-pqhyifi4i.jpg,,,,,
BZ-120,,,,,,,,,,,basic,false,false,false,/uploads/BZ-120-1773659973409-8bczihosg.jpg,/uploads/BZ-120-1773659973409-8bczihosg.jpg|/uploads/BZ-120-1773659973413-3ot8swi1e.jpg|/uploads/BZ-120-1773659973416-ih7rdrsuv.jpg|/uploads/BZ-120-1773659973420-8bk7syqxo.jpg|/uploads/BZ-120-1773659973424-9ndi5ymtt.jpg,/uploads/BZ-120-1773659973409-8bczihosg.jpg,/uploads/BZ-120-1773659973413-3ot8swi1e.jpg,/uploads/BZ-120-1773659973416-ih7rdrsuv.jpg,/uploads/BZ-120-1773659973420-8bk7syqxo.jpg,/uploads/BZ-120-1773659973424-9ndi5ymtt.jpg,,,,,
