productCode,name,description,singlePrice,cartonPcsPrice,cartonQty,gstPercentage,hsnCode,weight,stock,category,subCategory,isBestseller,isNewArrival,isTopRanking,imageUrl,imageUrls,image1,image2,image3,image4,image5,image6,image7,image8,image9,image10
BZ-06,,,,,,,,,,,basic,false,false,false,/uploads/BZ-06-1773664599423-zld64grpd.jpg,/uploads/BZ-06-1773664599423-zld64grpd.jpg|/uploads/BZ-06-1773664599428-r6eg6ienn.jpg|/uploads/BZ-06-1773664599432-1punujda6.jpg|/uploads/BZ-06-1773664599437-qnrklserh.jpg|/uploads/BZ-06-1773664599442-c0es8ufxc.jpg|/uploads/BZ-06-1773664599447-da49tlomh.jpg,/uploads/BZ-06-1773664599423-zld64grpd.jpg,/uploads/BZ-06-1773664599428-r6eg6ienn.jpg,/uploads/BZ-06-1773664599432-1punujda6.jpg,/uploads/BZ-06-1773664599437-qnrklserh.jpg,/uploads/BZ-06-1773664599442-c0es8ufxc.jpg,/uploads/BZ-06-1773664599447-da49tlomh.jpg,,,,
BZ-09,,,,,,,,,,,basic,false,false,false,/uploads/BZ-09-1773664599451-uqw2qka0o.jpg,/uploads/BZ-09-1773664599451-uqw2qka0o.jpg|/uploads/BZ-09-1773664599457-po52okfp3.jpg|/uploads/BZ-09-1773664599461-vrwcdo167.jpg,/uploads/BZ-09-1773664599451-uqw2qka0o.jpg,/uploads/BZ-09-1773664599457-po52okfp3.jpg,/uploads/BZ-09-1773664599461-vrwcdo167.jpg,,,,,,,
BZ-104,,,,,,,,,,,basic,false,false,false,/uploads/BZ-104-1773664599466-jofib07ok.jpg,/uploads/BZ-104-1773664599466-jofib07ok.jpg|/uploads/BZ-104-1773664599472-hwlmnbqy9.jpg|/uploads/BZ-104-1773664599478-lt5jkhl18.jpg|/uploads/BZ-104-1773664599482-zfmng4vy2.jpg|/uploads/BZ-104-1773664599488-nnoa2nefw.jpg,/uploads/BZ-104-1773664599466-jofib07ok.jpg,/uploads/BZ-104-1773664599472-hwlmnbqy9.jpg,/uploads/BZ-104-1773664599478-lt5jkhl18.jpg,/uploads/BZ-104-1773664599482-zfmng4vy2.jpg,/uploads/BZ-104-1773664599488-nnoa2nefw.jpg,,,,,
BZ-106,,,,,,,,,,,basic,false,false,false,/uploads/BZ-106-1773664599496-2j552sbao.jpg,/uploads/BZ-106-1773664599496-2j552sbao.jpg|/uploads/BZ-106-1773664599500-bd5muxkpt.jpg|/uploads/BZ-106-1773664599506-bwr2qio4x.jpg|/uploads/BZ-106-1773664599513-6tqj1iduo.jpg|/uploads/BZ-106-1773664599517-dx6wetmsp.jpg|/uploads/BZ-106-1773664599538-bjnirujd8.jpg,/uploads/BZ-106-1773664599496-2j552sbao.jpg,/uploads/BZ-106-1773664599500-bd5muxkpt.jpg,/uploads/BZ-106-1773664599506-bwr2qio4x.jpg,/uploads/BZ-106-1773664599513-6tqj1iduo.jpg,/uploads/BZ-106-1773664599517-dx6wetmsp.jpg,/uploads/BZ-106-1773664599538-bjnirujd8.jpg,,,,
BZ-107,,,,,,,,,,,basic,false,false,false,/uploads/BZ-107-1773664599546-lnh8x2lwk.jpg,/uploads/BZ-107-1773664599546-lnh8x2lwk.jpg,/uploads/BZ-107-1773664599546-lnh8x2lwk.jpg,,,,,,,,,
BZ-108,,,,,,,,,,,basic,false,false,false,/uploads/BZ-108-1773664599550-yihpu22ld.jpg,/uploads/BZ-108-1773664599550-yihpu22ld.jpg|/uploads/BZ-108-1773664599557-i5tg38mhn.jpg|/uploads/BZ-108-1773664599561-vpb2ljbzr.jpg|/uploads/BZ-108-1773664599565-7pe34ze5d.jpg|/uploads/BZ-108-1773664599569-w7h8hdib1.jpg,/uploads/BZ-108-1773664599550-yihpu22ld.jpg,/uploads/BZ-108-1773664599557-i5tg38mhn.jpg,/uploads/BZ-108-1773664599561-vpb2ljbzr.jpg,/uploads/BZ-108-1773664599565-7pe34ze5d.jpg,/uploads/BZ-108-1773664599569-w7h8hdib1.jpg,,,,,
BZ-113,,,,,,,,,,,basic,false,false,false,/uploads/BZ-113-1773664599574-xwu25mquf.jpg,/uploads/BZ-113-1773664599574-xwu25mquf.jpg|/uploads/BZ-113-1773664599578-sxl2hg6qw.jpg|/uploads/BZ-113-1773664599582-ul9aiowou.jpg|/uploads/BZ-113-1773664599586-qcwlz9i86.jpg|/uploads/BZ-113-1773664599590-7500dj9cm.jpg,/uploads/BZ-113-1773664599574-xwu25mquf.jpg,/uploads/BZ-113-1773664599578-sxl2hg6qw.jpg,/uploads/BZ-113-1773664599582-ul9aiowou.jpg,/uploads/BZ-113-1773664599586-qcwlz9i86.jpg,/uploads/BZ-113-1773664599590-7500dj9cm.jpg,,,,,
BZ-114,,,,,,,,,,,basic,false,false,false,/uploads/BZ-114-1773664599594-8762ba31x.jpg,/uploads/BZ-114-1773664599594-8762ba31x.jpg|/uploads/BZ-114-1773664599598-ojdqslw4l.jpg|/uploads/BZ-114-1773664599601-mic4bzdry.jpg|/uploads/BZ-114-1773664599605-q953hc4mk.jpg,/uploads/BZ-114-1773664599594-8762ba31x.jpg,/uploads/BZ-114-1773664599598-ojdqslw4l.jpg,/uploads/BZ-114-1773664599601-mic4bzdry.jpg,/uploads/BZ-114-1773664599605-q953hc4mk.jpg,,,,,,
BZ-1181,,,,,,,,,,,basic,false,false,false,/uploads/BZ-1181-1773664599619-mgxv5lyj7.jpg,/uploads/BZ-1181-1773664599619-mgxv5lyj7.jpg|/uploads/BZ-1181-1773664599622-kswvumj7u.jpg|/uploads/BZ-1181-1773664599627-skw5x259e.jpg|/uploads/BZ-1181-1773664599630-i8tlv659i.jpg|/uploads/BZ-1181-1773664599633-61mzsy4n2.jpg,/uploads/BZ-1181-1773664599619-mgxv5lyj7.jpg,/uploads/BZ-1181-1773664599622-kswvumj7u.jpg,/uploads/BZ-1181-1773664599627-skw5x259e.jpg,/uploads/BZ-1181-1773664599630-i8tlv659i.jpg,/uploads/BZ-1181-1773664599633-61mzsy4n2.jpg,,,,,
BZ-120,,,,,,,,,,,basic,false,false,false,/uploads/BZ-120-1773664599642-69k3esj63.jpg,/uploads/BZ-120-1773664599642-69k3esj63.jpg|/uploads/BZ-120-1773664599645-zouavwn8m.jpg|/uploads/BZ-120-1773664599649-v1nqiwcqg.jpg|/uploads/BZ-120-1773664599653-ql8bqfdy2.jpg|/uploads/BZ-120-1773664599657-se43dtr1i.jpg,/uploads/BZ-120-1773664599642-69k3esj63.jpg,/uploads/BZ-120-1773664599645-zouavwn8m.jpg,/uploads/BZ-120-1773664599649-v1nqiwcqg.jpg,/uploads/BZ-120-1773664599653-ql8bqfdy2.jpg,/uploads/BZ-120-1773664599657-se43dtr1i.jpg,,,,,
