productCode,name,description,singlePrice,cartonPcsPrice,cartonQty,gstPercentage,hsnCode,weight,stock,category,subCategory,isBestseller,isNewArrival,isTopRanking,imageUrl,imageUrls,image1,image2,image3,image4,image5,image6,image7,image8,image9,image10,image11,image12,image13,image14,image15,image16,image17
215_975,,,,,,,,,,,,false,false,false,/uploads/215_975-1775111575476-g23454bxa.jpg,/uploads/215_975-1775111575480-ygmn6y9nm.jpg|/uploads/215_975-1775111575484-sga4a4hyu.jpg|/uploads/215_975-1775111575490-niciulcqd.jpg|/uploads/215_975-1775111575503-xivlfgy5n.jpg|/uploads/215_975-1775111575508-y3dofxdqq.jpg|/uploads/215_975-1775111575511-bz60i883t.jpg|/uploads/215_975-1775111575514-uuoo7tpyy.jpg|/uploads/215_975-1775111575517-3e81rwo4s.jpg,/uploads/215_975-1775111575476-g23454bxa.jpg,/uploads/215_975-1775111575480-ygmn6y9nm.jpg,/uploads/215_975-1775111575484-sga4a4hyu.jpg,/uploads/215_975-1775111575490-niciulcqd.jpg,/uploads/215_975-1775111575503-xivlfgy5n.jpg,/uploads/215_975-1775111575508-y3dofxdqq.jpg,/uploads/215_975-1775111575511-bz60i883t.jpg,/uploads/215_975-1775111575514-uuoo7tpyy.jpg,/uploads/215_975-1775111575517-3e81rwo4s.jpg,,,,,,,,
224_203,,,,,,,,,,,,false,false,false,/uploads/224_203-1775111575521-q852rt4hf.jpg,,/uploads/224_203-1775111575521-q852rt4hf.jpg,,,,,,,,,,,,,,,,
225_527,,,,,,,,,,,,false,false,false,/uploads/225_527-1775111575525-owyax00r1.jpg,/uploads/225_527-1775111575531-rno5k9nrg.jpg|/uploads/225_527-1775111575535-1dzuz7e9v.jpg|/uploads/225_527-1775111575539-v81nv5evl.jpg|/uploads/225_527-1775111575542-a2y5ufuqd.jpg|/uploads/225_527-1775111575545-xpqunqjtg.jpg|/uploads/225_527-1775111575549-fnanjhj7t.jpg,/uploads/225_527-1775111575525-owyax00r1.jpg,/uploads/225_527-1775111575531-rno5k9nrg.jpg,/uploads/225_527-1775111575535-1dzuz7e9v.jpg,/uploads/225_527-1775111575539-v81nv5evl.jpg,/uploads/225_527-1775111575542-a2y5ufuqd.jpg,/uploads/225_527-1775111575545-xpqunqjtg.jpg,/uploads/225_527-1775111575549-fnanjhj7t.jpg,,,,,,,,,,
226_1577 Browen,,,,,,,,,,,,false,false,false,/uploads/226_1577 Browen-1775111575553-umzj4xtrq.jpg,/uploads/226_1577 Browen-1775111575556-cq0b9p4gr.jpg|/uploads/226_1577 Browen-1775111575559-j51lls35t.jpg|/uploads/226_1577 Browen-1775111575563-28yyxj03g.jpg|/uploads/226_1577 Browen-1775111575566-8sgtxn11j.jpg,/uploads/226_1577 Browen-1775111575553-umzj4xtrq.jpg,/uploads/226_1577 Browen-1775111575556-cq0b9p4gr.jpg,/uploads/226_1577 Browen-1775111575559-j51lls35t.jpg,/uploads/226_1577 Browen-1775111575563-28yyxj03g.jpg,/uploads/226_1577 Browen-1775111575566-8sgtxn11j.jpg,,,,,,,,,,,,
226_1577 Green,,,,,,,,,,,,false,false,false,/uploads/226_1577 Green-1775111575569-ob2rg46tp.jpg,/uploads/226_1577 Green-1775111575572-hzrb16d2c.jpg|/uploads/226_1577 Green-1775111575575-h6a93h2ap.jpg|/uploads/226_1577 Green-1775111575578-etu50cs18.jpg|/uploads/226_1577 Green-1775111575581-5sx9mvtyi.jpg|/uploads/226_1577 Green-1775111575584-k016858n9.jpg|/uploads/226_1577 Green-1775111575587-2xc9tbrfi.jpg,/uploads/226_1577 Green-1775111575569-ob2rg46tp.jpg,/uploads/226_1577 Green-1775111575572-hzrb16d2c.jpg,/uploads/226_1577 Green-1775111575575-h6a93h2ap.jpg,/uploads/226_1577 Green-1775111575578-etu50cs18.jpg,/uploads/226_1577 Green-1775111575581-5sx9mvtyi.jpg,/uploads/226_1577 Green-1775111575584-k016858n9.jpg,/uploads/226_1577 Green-1775111575587-2xc9tbrfi.jpg,,,,,,,,,,
227_1718,,,,,,,,,,,,false,false,false,/uploads/227_1718-1775111575592-3uj1zrm8y.jpg,/uploads/227_1718-1775111575600-gkrx7wj9c.jpg|/uploads/227_1718-1775111575603-4q4zk3eoc.jpg,/uploads/227_1718-1775111575592-3uj1zrm8y.jpg,/uploads/227_1718-1775111575600-gkrx7wj9c.jpg,/uploads/227_1718-1775111575603-4q4zk3eoc.jpg,,,,,,,,,,,,,,
228_1305,,,,,,,,,,,,false,false,false,/uploads/228_1305-1775111575606-fmt4iqbv6.jpg,/uploads/228_1305-1775111575609-mw4nmyvzq.jpg|/uploads/228_1305-1775111575611-868tp7gqn.jpg|/uploads/228_1305-1775111575614-46o9cjcj5.jpg|/uploads/228_1305-1775111575617-wbou5emuu.jpg|/uploads/228_1305-1775111575620-z4ldakr8b.jpg|/uploads/228_1305-1775111575624-260h1ruxg.jpg,/uploads/228_1305-1775111575606-fmt4iqbv6.jpg,/uploads/228_1305-1775111575609-mw4nmyvzq.jpg,/uploads/228_1305-1775111575611-868tp7gqn.jpg,/uploads/228_1305-1775111575614-46o9cjcj5.jpg,/uploads/228_1305-1775111575617-wbou5emuu.jpg,/uploads/228_1305-1775111575620-z4ldakr8b.jpg,/uploads/228_1305-1775111575624-260h1ruxg.jpg,,,,,,,,,,
229_1185,,,,,,,,,,,,false,false,false,/uploads/229_1185-1775111575627-czxw4x8vb.jpg,/uploads/229_1185-1775111575631-09pyh2pna.jpg|/uploads/229_1185-1775111575636-k4fran9w8.jpg|/uploads/229_1185-1775111575639-8rrdw773j.jpg|/uploads/229_1185-1775111575642-zxf63b1s9.jpg|/uploads/229_1185-1775111575644-blpt3qrvz.jpg|/uploads/229_1185-1775111575647-a71v3xnw3.jpg|/uploads/229_1185-1775111575651-uzjk6cjgg.jpg|/uploads/229_1185-1775111575655-ii892bdkd.jpg|/uploads/229_1185-1775111575660-5245wfamd.jpg|/uploads/229_1185-1775111575664-0ygahnnkw.jpg|/uploads/229_1185-1775111575670-uf4jkp9jd.jpg|/uploads/229_1185-1775111575673-smz30ror1.jpg|/uploads/229_1185-1775111575677-252o30t7a.jpg|/uploads/229_1185-1775111575679-d24npxq2g.jpg|/uploads/229_1185-1775111575685-c78k90lhm.jpg|/uploads/229_1185-1775111575688-p6tg2dnc3.jpg,/uploads/229_1185-1775111575627-czxw4x8vb.jpg,/uploads/229_1185-1775111575631-09pyh2pna.jpg,/uploads/229_1185-1775111575636-k4fran9w8.jpg,/uploads/229_1185-1775111575639-8rrdw773j.jpg,/uploads/229_1185-1775111575642-zxf63b1s9.jpg,/uploads/229_1185-1775111575644-blpt3qrvz.jpg,/uploads/229_1185-1775111575647-a71v3xnw3.jpg,/uploads/229_1185-1775111575651-uzjk6cjgg.jpg,/uploads/229_1185-1775111575655-ii892bdkd.jpg,/uploads/229_1185-1775111575660-5245wfamd.jpg,/uploads/229_1185-1775111575664-0ygahnnkw.jpg,/uploads/229_1185-1775111575670-uf4jkp9jd.jpg,/uploads/229_1185-1775111575673-smz30ror1.jpg,/uploads/229_1185-1775111575677-252o30t7a.jpg,/uploads/229_1185-1775111575679-d24npxq2g.jpg,/uploads/229_1185-1775111575685-c78k90lhm.jpg,/uploads/229_1185-1775111575688-p6tg2dnc3.jpg
230_1719,,,,,,,,,,,,false,false,false,/uploads/230_1719-1775111575692-npbpsgfhw.jpg,/uploads/230_1719-1775111575695-fiwfgbjh6.jpg|/uploads/230_1719-1775111575699-g3spg3pm4.jpg|/uploads/230_1719-1775111575702-g0vqbum1q.jpg|/uploads/230_1719-1775111575706-v38adu48o.jpg|/uploads/230_1719-1775111575709-tn5usth6o.jpg|/uploads/230_1719-1775111575712-mn11ormsp.jpg|/uploads/230_1719-1775111575717-mz2kx1gq6.jpg,/uploads/230_1719-1775111575692-npbpsgfhw.jpg,/uploads/230_1719-1775111575695-fiwfgbjh6.jpg,/uploads/230_1719-1775111575699-g3spg3pm4.jpg,/uploads/230_1719-1775111575702-g0vqbum1q.jpg,/uploads/230_1719-1775111575706-v38adu48o.jpg,/uploads/230_1719-1775111575709-tn5usth6o.jpg,/uploads/230_1719-1775111575712-mn11ormsp.jpg,/uploads/230_1719-1775111575717-mz2kx1gq6.jpg,,,,,,,,,
231-1712,,,,,,,,,,,,false,false,false,/uploads/231-1712-1775111575722-3gaxip4sm.jpg,/uploads/231-1712-1775111575726-m3oiasccm.jpg|/uploads/231-1712-1775111575730-8qpyl0010.jpg|/uploads/231-1712-1775111575735-75h6h4j51.jpg|/uploads/231-1712-1775111575737-38v3n81xb.jpg,/uploads/231-1712-1775111575722-3gaxip4sm.jpg,/uploads/231-1712-1775111575726-m3oiasccm.jpg,/uploads/231-1712-1775111575730-8qpyl0010.jpg,/uploads/231-1712-1775111575735-75h6h4j51.jpg,/uploads/231-1712-1775111575737-38v3n81xb.jpg,,,,,,,,,,,,
